pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
EPT-0I	EPT-0O	_R_uce-8138_EPT_C3	1	10000	0.024645618556701	256	612	24832	768
EPT-0I	EPT-0N	_R_uce-8138_EPT_C3	1	10000	0.0256615878107457	253	128	4988	132
EPT-0I	EPT-0L	_R_uce-8138_EPT_C3	1	10000	0.0240863787375415	244	116	4816	304
EPT-0I	EPT-0J	_R_uce-8138_EPT_C3	1	10000	0.0248923573735199	256	370	14864	496
EPT-0H	EPT-0P	_R_uce-8138_EPT_C3	1	10000	0.0177514792899408	256	72	4056	40
EPT-0H	EPT-0O	_R_uce-8138_EPT_C3	1	10000	0.0221556886227544	256	222	10020	220
EPT-0H	EPT-0N	_R_uce-8138_EPT_C3	1	10000	0.0218253968253968	253	44	2016	32
EPT-0I	EPT-0P	_R_uce-8138_EPT_C3	1	10000	0.0224920382165605	256	226	10048	192
EPT-0D	EPT-0N	_R_uce-8138_EPT_C3	1	10000	0.0258964143426294	253	78	3012	60
EPT-0D	EPT-0L	_R_uce-8138_EPT_C3	1	10000	0.0220385674931129	244	64	2904	168
EPT-0D	EPT-0J	_R_uce-8138_EPT_C3	1	10000	0.0253333333333333	256	228	9000	216
EPT-0B	EPT-0H	_R_uce-8138_EPT_C3	1	10000	0.0236686390532544	256	144	6084	60
EPT-0B	EPT-0F	_R_uce-8138_EPT_C3	1	10000	0.0253181695098835	256	374	14772	588
EPT-0B	EPT-0E	_R_uce-8138_EPT_C3	1	10000	0.026171875	256	402	15360	0
EPT-0B	EPT-0D	_R_uce-8138_EPT_C3	1	10000	0.0260279965004374	256	238	9144	72
EPT-0B	EPT-0C	_R_uce-8138_EPT_C3	1	10000	0.0243372446762277	256	448	18408	24
EPT-0A	EPT-0P	_R_uce-8138_EPT_C3	1	10000	0.0225202429149797	256	178	7904	288
EPT-0A	EPT-0O	_R_uce-8138_EPT_C3	1	10000	0.0262295081967213	256	512	19520	960
EPT-0B	EPT-0I	_R_uce-8138_EPT_C3	1	10000	0.0253450106157112	256	382	15072	288
EPT-0A	EPT-0N	_R_uce-8138_EPT_C3	1	10000	0.0271516393442622	253	106	3904	192
EPT-0A	EPT-0J	_R_uce-8138_EPT_C3	1	10000	0.026559287183002	256	310	11672	616
EPT-0A	EPT-0I	_R_uce-8138_EPT_C3	1	10000	0.0260008254230293	256	504	19384	1096
EPT-0A	EPT-0H	_R_uce-8138_EPT_C3	1	10000	0.0224719101123595	256	176	7832	360
EPT-0A	EPT-0F	_R_uce-8138_EPT_C3	1	10000	0.0255091328994331	256	486	19052	1428
EPT-0A	EPT-0E	_R_uce-8138_EPT_C3	1	10000	0.0268218623481781	256	530	19760	720
EPT-0A	EPT-0D	_R_uce-8138_EPT_C3	1	10000	0.0244814688881332	256	288	11764	524
EPT-0A	EPT-0C	_R_uce-8138_EPT_C3	1	10000	0.0244005403579871	256	578	23688	888
EPT-0A	EPT-0L	_R_uce-8138_EPT_C3	1	10000	0.0254777070063694	244	96	3768	328
EPT-0N	EPT-0P	_R_uce-8138_EPT_C3	1	10000	0.0227272727272727	253	46	2024	24
EPT-0B	EPT-0J	_R_uce-8138_EPT_C3	1	10000	0.0268959435626102	256	244	9072	144
EPT-0B	EPT-0N	_R_uce-8138_EPT_C3	1	10000	0.0276679841897233	253	84	3036	36
EPT-0D	EPT-0I	_R_uce-8138_EPT_C3	1	10000	0.0238095238095238	256	356	14952	408
EPT-0D	EPT-0H	_R_uce-8138_EPT_C3	1	10000	0.0212060967528164	256	128	6036	108
EPT-0D	EPT-0F	_R_uce-8138_EPT_C3	1	10000	0.0232050232050232	256	340	14652	708
EPT-0D	EPT-0E	_R_uce-8138_EPT_C3	1	10000	0.023753280839895	256	362	15240	120
EPT-0C	EPT-0P	_R_uce-8138_EPT_C3	1	10000	0.0200456323337679	256	246	12272	16
EPT-0C	EPT-0O	_R_uce-8138_EPT_C3	1	10000	0.0233003300330033	256	706	30300	420
EPT-0C	EPT-0N	_R_uce-8138_EPT_C3	1	10000	0.0237467018469656	253	144	6064	80
EPT-0B	EPT-0L	_R_uce-8138_EPT_C3	1	10000	0.026639344262295	244	78	2928	144
EPT-0C	EPT-0L	_R_uce-8138_EPT_C3	1	10000	0.0222146274777853	244	130	5852	292
EPT-0C	EPT-0I	_R_uce-8138_EPT_C3	1	10000	0.0223860767902218	256	674	30108	612
EPT-0C	EPT-0H	_R_uce-8138_EPT_C3	1	10000	0.0192497532082922	256	234	12156	132
EPT-0C	EPT-0F	_R_uce-8138_EPT_C3	1	10000	0.0220309110629067	256	650	29504	1216
EPT-0C	EPT-0E	_R_uce-8138_EPT_C3	1	10000	0.0231421121251629	256	710	30680	40
EPT-0C	EPT-0D	_R_uce-8138_EPT_C3	1	10000	0.0220056930151083	256	402	18268	164
EPT-0B	EPT-0P	_R_uce-8138_EPT_C3	1	10000	0.0237630208333333	256	146	6144	0
EPT-0B	EPT-0O	_R_uce-8138_EPT_C3	1	10000	0.0267668776371308	256	406	15168	192
EPT-0C	EPT-0J	_R_uce-8138_EPT_C3	1	10000	0.023284043257559	256	422	18124	308
EPT-0O	EPT-0P	_R_uce-8138_EPT_C3	1	10000	0.0227452531645569	256	230	10112	128
EPT-0A	EPT-0B	_R_uce-8354_EPT_C13	1	10000	0.0350877192982456	76	128	3648	0
EPT-0F	EPT-0O	_R_uce-8354_EPT_C13	1	10000	0.0343007915567282	76	260	7580	20
EPT-0F	EPT-0N	_R_uce-8354_EPT_C13	1	10000	0.0355263157894736	76	54	1520	0
EPT-0F	EPT-0L	_R_uce-8354_EPT_C13	1	10000	0.0263157894736842	76	40	1520	0
EPT-0F	EPT-0J	_R_uce-8354_EPT_C13	1	10000	0.037885462555066	76	172	4540	20
EPT-0F	EPT-0I	_R_uce-8354_EPT_C13	1	10000	0.0384210526315789	76	292	7600	0
EPT-0F	EPT-0H	_R_uce-8354_EPT_C13	1	10000	0.0388157894736842	76	118	3040	0
EPT-0E	EPT-0P	_R_uce-8354_EPT_C13	1	10000	0.031578947368421	76	96	3040	0
EPT-0E	EPT-0O	_R_uce-8354_EPT_C13	1	10000	0.0271767810026385	76	206	7580	20
EPT-0E	EPT-0N	_R_uce-8354_EPT_C13	1	10000	0.0289473684210526	76	44	1520	0
EPT-0E	EPT-0L	_R_uce-8354_EPT_C13	1	10000	0.0184210526315789	76	28	1520	0
EPT-0E	EPT-0J	_R_uce-8354_EPT_C13	1	10000	0.0295154185022026	76	134	4540	20
EPT-0E	EPT-0I	_R_uce-8354_EPT_C13	1	10000	0.0297368421052631	76	226	7600	0
EPT-0E	EPT-0H	_R_uce-8354_EPT_C13	1	10000	0.0335526315789473	76	102	3040	0
EPT-0E	EPT-0F	_R_uce-8354_EPT_C13	1	10000	0.0323684210526315	76	246	7600	0
EPT-0D	EPT-0P	_R_uce-8354_EPT_C13	1	10000	0.0361842105263157	76	66	1824	0
EPT-0F	EPT-0P	_R_uce-8354_EPT_C13	1	10000	0.0381578947368421	76	116	3040	0
EPT-0H	EPT-0I	_R_uce-8354_EPT_C13	1	10000	0.0414473684210526	76	126	3040	0
EPT-0H	EPT-0J	_R_uce-8354_EPT_C13	1	10000	0.0374449339207048	76	68	1816	8
EPT-0H	EPT-0L	_R_uce-8354_EPT_C13	1	10000	0.0263157894736842	76	16	608	0
EPT-0N	EPT-0O	_R_uce-8354_EPT_C13	1	10000	0.0303430079155672	76	46	1516	4
EPT-0L	EPT-0P	_R_uce-8354_EPT_C13	1	10000	0.0263157894736842	76	16	608	0
EPT-0L	EPT-0O	_R_uce-8354_EPT_C13	1	10000	0.021108179419525	76	32	1516	4
EPT-0L	EPT-0N	_R_uce-8354_EPT_C13	1	10000	0.0263157894736842	76	8	304	0
EPT-0J	EPT-0P	_R_uce-8354_EPT_C13	1	10000	0.0374449339207048	76	68	1816	8
EPT-0J	EPT-0O	_R_uce-8354_EPT_C13	1	10000	0.0326855123674911	76	148	4528	32
EPT-0J	EPT-0N	_R_uce-8354_EPT_C13	1	10000	0.0352422907488986	76	32	908	4
EPT-0D	EPT-0O	_R_uce-8354_EPT_C13	1	10000	0.0321020228671943	76	146	4548	12
EPT-0J	EPT-0L	_R_uce-8354_EPT_C13	1	10000	0.0220264317180616	76	20	908	4
EPT-0I	EPT-0O	_R_uce-8354_EPT_C13	1	10000	0.0324538258575197	76	246	7580	20
EPT-0I	EPT-0N	_R_uce-8354_EPT_C13	1	10000	0.0328947368421052	76	50	1520	0
EPT-0I	EPT-0L	_R_uce-8354_EPT_C13	1	10000	0.025	76	38	1520	0
EPT-0I	EPT-0J	_R_uce-8354_EPT_C13	1	10000	0.0343612334801762	76	156	4540	20
EPT-0H	EPT-0P	_R_uce-8354_EPT_C13	1	10000	0.0427631578947368	76	52	1216	0
EPT-0H	EPT-0O	_R_uce-8354_EPT_C13	1	10000	0.0369393139841688	76	112	3032	8
EPT-0H	EPT-0N	_R_uce-8354_EPT_C13	1	10000	0.0394736842105263	76	24	608	0
EPT-0I	EPT-0P	_R_uce-8354_EPT_C13	1	10000	0.0355263157894736	76	108	3040	0
EPT-0D	EPT-0N	_R_uce-8354_EPT_C13	1	10000	0.0328947368421052	76	30	912	0
EPT-0D	EPT-0L	_R_uce-8354_EPT_C13	1	10000	0.0219298245614035	76	20	912	0
EPT-0D	EPT-0J	_R_uce-8354_EPT_C13	1	10000	0.0352422907488986	76	96	2724	12
EPT-0B	EPT-0H	_R_uce-8354_EPT_C13	1	10000	0.0339912280701754	76	62	1824	0
EPT-0B	EPT-0F	_R_uce-8354_EPT_C13	1	10000	0.0342105263157894	76	156	4560	0
EPT-0B	EPT-0E	_R_uce-8354_EPT_C13	1	10000	0.0263157894736842	76	120	4560	0
EPT-0B	EPT-0D	_R_uce-8354_EPT_C13	1	10000	0.0314327485380116	76	86	2736	0
EPT-0B	EPT-0C	_R_uce-8354_EPT_C13	1	10000	0.0288742690058479	76	158	5472	0
EPT-0A	EPT-0P	_R_uce-8354_EPT_C13	1	10000	0.0386513157894736	76	94	2432	0
EPT-0A	EPT-0O	_R_uce-8354_EPT_C13	1	10000	0.0346306068601583	76	210	6064	16
EPT-0B	EPT-0I	_R_uce-8354_EPT_C13	1	10000	0.0320175438596491	76	146	4560	0
EPT-0A	EPT-0N	_R_uce-8354_EPT_C13	1	10000	0.0328947368421052	76	40	1216	0
EPT-0A	EPT-0J	_R_uce-8354_EPT_C13	1	10000	0.0374449339207048	76	136	3632	16
EPT-0A	EPT-0I	_R_uce-8354_EPT_C13	1	10000	0.0368421052631578	76	224	6080	0
EPT-0A	EPT-0H	_R_uce-8354_EPT_C13	1	10000	0.0402960526315789	76	98	2432	0
EPT-0A	EPT-0F	_R_uce-8354_EPT_C13	1	10000	0.0384868421052631	76	234	6080	0
EPT-0A	EPT-0E	_R_uce-8354_EPT_C13	1	10000	0.0319078947368421	76	194	6080	0
EPT-0A	EPT-0D	_R_uce-8354_EPT_C13	1	10000	0.0361842105263157	76	132	3648	0
EPT-0A	EPT-0C	_R_uce-8354_EPT_C13	1	10000	0.0323464912280701	76	236	7296	0
EPT-0A	EPT-0L	_R_uce-8354_EPT_C13	1	10000	0.0279605263157894	76	34	1216	0
EPT-0N	EPT-0P	_R_uce-8354_EPT_C13	1	10000	0.0328947368421052	76	20	608	0
EPT-0B	EPT-0J	_R_uce-8354_EPT_C13	1	10000	0.0308370044052863	76	84	2724	12
EPT-0B	EPT-0N	_R_uce-8354_EPT_C13	1	10000	0.0328947368421052	76	30	912	0
EPT-0D	EPT-0I	_R_uce-8354_EPT_C13	1	10000	0.0364035087719298	76	166	4560	0
EPT-0D	EPT-0H	_R_uce-8354_EPT_C13	1	10000	0.0350877192982456	76	64	1824	0
EPT-0D	EPT-0F	_R_uce-8354_EPT_C13	1	10000	0.0346491228070175	76	158	4560	0
EPT-0D	EPT-0E	_R_uce-8354_EPT_C13	1	10000	0.0298245614035087	76	136	4560	0
EPT-0C	EPT-0P	_R_uce-8354_EPT_C13	1	10000	0.0334429824561403	76	122	3648	0
EPT-0C	EPT-0O	_R_uce-8354_EPT_C13	1	10000	0.0288038698328935	76	262	9096	24
EPT-0C	EPT-0N	_R_uce-8354_EPT_C13	1	10000	0.0307017543859649	76	56	1824	0
EPT-0B	EPT-0L	_R_uce-8354_EPT_C13	1	10000	0.0197368421052631	76	18	912	0
EPT-0C	EPT-0L	_R_uce-8354_EPT_C13	1	10000	0.0186403508771929	76	34	1824	0
EPT-0C	EPT-0I	_R_uce-8354_EPT_C13	1	10000	0.031798245614035	76	290	9120	0
EPT-0C	EPT-0H	_R_uce-8354_EPT_C13	1	10000	0.0339912280701754	76	124	3648	0
EPT-0C	EPT-0F	_R_uce-8354_EPT_C13	1	10000	0.0333333333333333	76	304	9120	0
EPT-0C	EPT-0E	_R_uce-8354_EPT_C13	1	10000	0.0260964912280701	76	238	9120	0
EPT-0C	EPT-0D	_R_uce-8354_EPT_C13	1	10000	0.0299707602339181	76	164	5472	0
EPT-0B	EPT-0P	_R_uce-8354_EPT_C13	1	10000	0.0339912280701754	76	62	1824	0
EPT-0B	EPT-0O	_R_uce-8354_EPT_C13	1	10000	0.0294635004397537	76	134	4548	12
EPT-0C	EPT-0J	_R_uce-8354_EPT_C13	1	10000	0.0304698972099853	76	166	5448	24
EPT-0O	EPT-0P	_R_uce-8354_EPT_C13	1	10000	0.0323218997361477	76	98	3032	8
EPT-0A	EPT-0B	_R_uce-9045_EPT_C3	1	10000	0.0186567164179104	35	30	1608	72
EPT-0F	EPT-0O	_R_uce-9045_EPT_C3	1	10000	0.0218228498074454	35	68	3116	384
EPT-0F	EPT-0N	_R_uce-9045_EPT_C3	1	10000	0.025	35	16	640	60
EPT-0F	EPT-0L	_R_uce-9045_EPT_C3	1	10000	0.0161290322580645	34	10	620	80
EPT-0F	EPT-0J	_R_uce-9045_EPT_C3	1	10000	0.0230263157894736	35	42	1824	276
EPT-0F	EPT-0I	_R_uce-9045_EPT_C3	1	10000	0.0245283018867924	35	78	3180	320
EPT-0F	EPT-0H	_R_uce-9045_EPT_C3	1	10000	0.015625	35	20	1280	120
EPT-0E	EPT-0P	_R_uce-9045_EPT_C3	1	10000	0.0100574712643678	35	14	1392	8
EPT-0E	EPT-0O	_R_uce-9045_EPT_C3	1	10000	0.0113095238095238	35	38	3360	140
EPT-0E	EPT-0N	_R_uce-9045_EPT_C3	1	10000	0.014367816091954	35	10	696	4
EPT-0E	EPT-0L	_R_uce-9045_EPT_C3	1	10000	0.0059171597633136	34	4	676	24
EPT-0E	EPT-0J	_R_uce-9045_EPT_C3	1	10000	0.0121951219512195	35	24	1968	132
EPT-0E	EPT-0I	_R_uce-9045_EPT_C3	1	10000	0.0150115473441108	35	52	3464	36
EPT-0E	EPT-0H	_R_uce-9045_EPT_C3	1	10000	0.0057471264367816	35	8	1392	8
EPT-0E	EPT-0F	_R_uce-9045_EPT_C3	1	10000	0.0194968553459119	35	62	3180	320
EPT-0D	EPT-0P	_R_uce-9045_EPT_C3	1	10000	0.0071428571428571	35	6	840	0
EPT-0F	EPT-0P	_R_uce-9045_EPT_C3	1	10000	0.0203125	35	26	1280	120
EPT-0H	EPT-0I	_R_uce-9045_EPT_C3	1	10000	0.0114942528735632	35	16	1392	8
EPT-0H	EPT-0J	_R_uce-9045_EPT_C3	1	10000	0.0101010101010101	35	8	792	48
EPT-0H	EPT-0L	_R_uce-9045_EPT_C3	1	10000	0.0	34	0	272	8
EPT-0N	EPT-0O	_R_uce-9045_EPT_C3	1	10000	0.014792899408284	35	10	676	24
EPT-0L	EPT-0P	_R_uce-9045_EPT_C3	1	10000	0.0073529411764705	34	2	272	8
EPT-0L	EPT-0O	_R_uce-9045_EPT_C3	1	10000	0.0091463414634146	34	6	656	44
EPT-0L	EPT-0N	_R_uce-9045_EPT_C3	1	10000	0.0147058823529411	34	2	136	4
EPT-0J	EPT-0P	_R_uce-9045_EPT_C3	1	10000	0.0126262626262626	35	10	792	48
EPT-0J	EPT-0O	_R_uce-9045_EPT_C3	1	10000	0.0136268343815513	35	26	1908	192
EPT-0J	EPT-0N	_R_uce-9045_EPT_C3	1	10000	0.0151515151515151	35	6	396	24
EPT-0D	EPT-0O	_R_uce-9045_EPT_C3	1	10000	0.0088757396449704	35	18	2028	72
EPT-0J	EPT-0L	_R_uce-9045_EPT_C3	1	10000	0.0104166666666666	34	4	384	36
EPT-0I	EPT-0O	_R_uce-9045_EPT_C3	1	10000	0.0172619047619047	35	58	3360	140
EPT-0I	EPT-0N	_R_uce-9045_EPT_C3	1	10000	0.0201149425287356	35	14	696	4
EPT-0I	EPT-0L	_R_uce-9045_EPT_C3	1	10000	0.0118343195266272	34	8	676	24
EPT-0I	EPT-0J	_R_uce-9045_EPT_C3	1	10000	0.0182926829268292	35	36	1968	132
EPT-0H	EPT-0P	_R_uce-9045_EPT_C3	1	10000	0.0071428571428571	35	4	560	0
EPT-0H	EPT-0O	_R_uce-9045_EPT_C3	1	10000	0.0088757396449704	35	12	1352	48
EPT-0H	EPT-0N	_R_uce-9045_EPT_C3	1	10000	0.0142857142857142	35	4	280	0
EPT-0I	EPT-0P	_R_uce-9045_EPT_C3	1	10000	0.0158045977011494	35	22	1392	8
EPT-0D	EPT-0N	_R_uce-9045_EPT_C3	1	10000	0.0142857142857142	35	6	420	0
EPT-0D	EPT-0L	_R_uce-9045_EPT_C3	1	10000	0.0	34	0	408	12
EPT-0D	EPT-0J	_R_uce-9045_EPT_C3	1	10000	0.0101010101010101	35	12	1188	72
EPT-0B	EPT-0H	_R_uce-9045_EPT_C3	1	10000	0.0142857142857142	35	12	840	0
EPT-0B	EPT-0F	_R_uce-9045_EPT_C3	1	10000	0.0270833333333333	35	52	1920	180
EPT-0B	EPT-0E	_R_uce-9045_EPT_C3	1	10000	0.018199233716475	35	38	2088	12
EPT-0B	EPT-0D	_R_uce-9045_EPT_C3	1	10000	0.0142857142857142	35	18	1260	0
EPT-0B	EPT-0C	_R_uce-9045_EPT_C3	1	10000	0.0214521452145214	35	52	2424	96
EPT-0A	EPT-0P	_R_uce-9045_EPT_C3	1	10000	0.0111940298507462	35	12	1072	48
EPT-0A	EPT-0O	_R_uce-9045_EPT_C3	1	10000	0.0131375579598145	35	34	2588	212
EPT-0B	EPT-0I	_R_uce-9045_EPT_C3	1	10000	0.0220306513409961	35	46	2088	12
EPT-0A	EPT-0N	_R_uce-9045_EPT_C3	1	10000	0.0186567164179104	35	10	536	24
EPT-0A	EPT-0J	_R_uce-9045_EPT_C3	1	10000	0.0143603133159268	35	22	1532	148
EPT-0A	EPT-0I	_R_uce-9045_EPT_C3	1	10000	0.0157657657657657	35	42	2664	136
EPT-0A	EPT-0H	_R_uce-9045_EPT_C3	1	10000	0.003731343283582	35	4	1072	48
EPT-0A	EPT-0F	_R_uce-9045_EPT_C3	1	10000	0.0202593192868719	35	50	2468	332
EPT-0A	EPT-0E	_R_uce-9045_EPT_C3	1	10000	0.0097597597597597	35	26	2664	136
EPT-0A	EPT-0D	_R_uce-9045_EPT_C3	1	10000	0.003731343283582	35	6	1608	72
EPT-0A	EPT-0C	_R_uce-9045_EPT_C3	1	10000	0.0141206675224646	35	44	3116	244
EPT-0A	EPT-0L	_R_uce-9045_EPT_C3	1	10000	0.0038461538461538	34	2	520	40
EPT-0N	EPT-0P	_R_uce-9045_EPT_C3	1	10000	0.0142857142857142	35	4	280	0
EPT-0B	EPT-0J	_R_uce-9045_EPT_C3	1	10000	0.0218855218855218	35	26	1188	72
EPT-0B	EPT-0N	_R_uce-9045_EPT_C3	1	10000	0.0238095238095238	35	10	420	0
EPT-0D	EPT-0I	_R_uce-9045_EPT_C3	1	10000	0.0114942528735632	35	24	2088	12
EPT-0D	EPT-0H	_R_uce-9045_EPT_C3	1	10000	0.0	35	0	840	0
EPT-0D	EPT-0F	_R_uce-9045_EPT_C3	1	10000	0.015625	35	30	1920	180
EPT-0D	EPT-0E	_R_uce-9045_EPT_C3	1	10000	0.0057471264367816	35	12	2088	12
EPT-0C	EPT-0P	_R_uce-9045_EPT_C3	1	10000	0.0148514851485148	35	24	1616	64
EPT-0C	EPT-0O	_R_uce-9045_EPT_C3	1	10000	0.0163934426229508	35	64	3904	296
EPT-0C	EPT-0N	_R_uce-9045_EPT_C3	1	10000	0.0198019801980198	35	16	808	32
EPT-0B	EPT-0L	_R_uce-9045_EPT_C3	1	10000	0.0147058823529411	34	6	408	12
EPT-0C	EPT-0L	_R_uce-9045_EPT_C3	1	10000	0.010204081632653	34	8	784	56
EPT-0C	EPT-0I	_R_uce-9045_EPT_C3	1	10000	0.0189054726368159	35	76	4020	180
EPT-0C	EPT-0H	_R_uce-9045_EPT_C3	1	10000	0.0099009900990099	35	16	1616	64
EPT-0C	EPT-0F	_R_uce-9045_EPT_C3	1	10000	0.0236813778256189	35	88	3716	484
EPT-0C	EPT-0E	_R_uce-9045_EPT_C3	1	10000	0.0139303482587064	35	56	4020	180
EPT-0C	EPT-0D	_R_uce-9045_EPT_C3	1	10000	0.0099009900990099	35	24	2424	96
EPT-0B	EPT-0P	_R_uce-9045_EPT_C3	1	10000	0.019047619047619	35	16	840	0
EPT-0B	EPT-0O	_R_uce-9045_EPT_C3	1	10000	0.0207100591715976	35	42	2028	72
EPT-0C	EPT-0J	_R_uce-9045_EPT_C3	1	10000	0.017391304347826	35	40	2300	220
EPT-0O	EPT-0P	_R_uce-9045_EPT_C3	1	10000	0.0118343195266272	35	16	1352	48
EPT-0A	EPT-0B	_R_uce-9045_EPT_C9	1	10000	0.0026096033402922	93	10	3832	632
EPT-0F	EPT-0O	_R_uce-9045_EPT_C9	1	10000	0.0020366598778004	93	16	7856	1444
EPT-0F	EPT-0N	_R_uce-9045_EPT_C9	1	10000	0.0098039215686274	89	16	1632	228
EPT-0F	EPT-0L	_R_uce-9045_EPT_C9	1	10000	0.0	72	0	1332	528
EPT-0F	EPT-0J	_R_uce-9045_EPT_C9	1	10000	0.0034662045060658	93	16	4616	964
EPT-0F	EPT-0I	_R_uce-9045_EPT_C9	1	10000	0.0	93	0	7840	1460
EPT-0F	EPT-0H	_R_uce-9045_EPT_C9	1	10000	0.005089058524173	93	16	3144	576
EPT-0E	EPT-0P	_R_uce-9045_EPT_C9	1	10000	0.0057339449541284	93	20	3488	232
EPT-0E	EPT-0O	_R_uce-9045_EPT_C9	1	10000	0.0029895366218236	93	24	8028	1272
EPT-0E	EPT-0N	_R_uce-9045_EPT_C9	1	10000	0.0108173076923076	89	18	1664	196
EPT-0E	EPT-0L	_R_uce-9045_EPT_C9	1	10000	0.0015015015015015	72	2	1332	528
EPT-0E	EPT-0J	_R_uce-9045_EPT_C9	1	10000	0.0038135593220338	93	18	4720	860
EPT-0E	EPT-0I	_R_uce-9045_EPT_C9	1	10000	0.0009930486593843	93	8	8056	1244
EPT-0E	EPT-0H	_R_uce-9045_EPT_C9	1	10000	0.0049140049140049	93	16	3256	464
EPT-0E	EPT-0F	_R_uce-9045_EPT_C9	1	10000	0.000991571641051	93	8	8068	1232
EPT-0D	EPT-0P	_R_uce-9045_EPT_C9	1	10000	0.0047528517110266	93	10	2104	128
EPT-0F	EPT-0P	_R_uce-9045_EPT_C9	1	10000	0.0046838407494145	93	16	3416	304
EPT-0H	EPT-0I	_R_uce-9045_EPT_C9	1	10000	0.0051020408163265	93	16	3136	584
EPT-0H	EPT-0J	_R_uce-9045_EPT_C9	1	10000	0.0054466230936819	93	10	1836	396
EPT-0H	EPT-0L	_R_uce-9045_EPT_C9	1	10000	0.003875968992248	72	2	516	228
EPT-0N	EPT-0O	_R_uce-9045_EPT_C9	1	10000	0.011056511056511	89	18	1628	232
EPT-0L	EPT-0P	_R_uce-9045_EPT_C9	1	10000	0.0034722222222222	72	2	576	168
EPT-0L	EPT-0O	_R_uce-9045_EPT_C9	1	10000	0.0	72	0	1312	548
EPT-0L	EPT-0N	_R_uce-9045_EPT_C9	1	10000	0.0073529411764705	68	2	272	100
EPT-0J	EPT-0P	_R_uce-9045_EPT_C9	1	10000	0.0080321285140562	93	16	1992	240
EPT-0J	EPT-0O	_R_uce-9045_EPT_C9	1	10000	0.005686789151356	93	26	4572	1008
EPT-0J	EPT-0N	_R_uce-9045_EPT_C9	1	10000	0.0126582278481012	89	12	948	168
EPT-0D	EPT-0O	_R_uce-9045_EPT_C9	1	10000	0.0024732069249793	93	12	4852	728
EPT-0J	EPT-0L	_R_uce-9045_EPT_C9	1	10000	0.0025380710659898	72	2	788	328
EPT-0I	EPT-0O	_R_uce-9045_EPT_C9	1	10000	0.0020565552699228	93	16	7780	1520
