pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
EPT-0J	uce-10006_EPT_C5	1	10000	0.0078554595443833	269	30	3819	216
EPT-0L	uce-10006_EPT_C5	1	10000	0.0074626865671641	268	2	268	1
EPT-0N	uce-10006_EPT_C5	1	10000	0.0335820895522388	268	9	268	1
EPT-0O	uce-10006_EPT_C5	1	10000	0.0092453993131989	269	105	11357	748
EPT-0P	uce-10006_EPT_C5	1	10000	0.0198265179677819	269	32	1614	0
EPT-0A	uce-10024_EPT_C10	1	10000	0.0149879467561052	344	143	9541	91
EPT-0B	uce-10024_EPT_C10	1	10000	0.0135613207547169	344	69	5088	72
EPT-0C	uce-10024_EPT_C10	1	10000	0.0148455262805938	344	333	22431	273
EPT-0D	uce-10024_EPT_C10	1	10000	0.011183048852266	344	57	5097	63
EPT-0E	uce-10024_EPT_C10	1	10000	0.0134662695843584	344	208	15446	34
EPT-0F	uce-10024_EPT_C10	1	10000	0.013096168881939	344	201	15348	132
EPT-0H	uce-10024_EPT_C10	1	10000	0.0160662122687439	344	33	2054	10
EPT-0I	uce-10024_EPT_C10	1	10000	0.014054054054054	344	208	14800	680
EPT-0J	uce-10024_EPT_C10	1	10000	0.0194575471698113	344	99	5088	72
EPT-0L	uce-10024_EPT_C10	1	10000	0.0262390670553935	343	9	343	1
EPT-0N	uce-10024_EPT_C10	1	10000	0.0232558139534883	344	8	344	0
EPT-0O	uce-10024_EPT_C10	1	10000	0.0191590923952134	344	293	15293	187
EPT-0P	uce-10024_EPT_C10	1	10000	0.0206998521439132	344	42	2029	35
EPT-0A	uce-10076_EPT_C9	1	10000	0.0035087719298245	80	7	1995	245
EPT-0B	uce-10076_EPT_C9	1	10000	0.0	80	0	1119	81
EPT-0C	uce-10076_EPT_C9	1	10000	0.0	80	0	5095	185
EPT-0D	uce-10076_EPT_C9	1	10000	0.0	80	0	1017	183
EPT-0E	uce-10076_EPT_C9	1	10000	0.0	80	0	3600	0
EPT-0F	uce-10076_EPT_C9	1	10000	0.0026603606266627	80	9	3383	217
EPT-0H	uce-10076_EPT_C9	1	10000	0.0	80	0	480	0
EPT-0I	uce-10076_EPT_C9	1	10000	0.0075715086932136	80	27	3566	34
EPT-0J	uce-10076_EPT_C9	1	10000	0.0	80	0	1200	0
EPT-0L	uce-10076_EPT_C9	1	10000	0.0	80	0	80	0
EPT-0N	uce-10076_EPT_C9	1	10000	0.0125	80	1	80	0
EPT-0O	uce-10076_EPT_C9	1	10000	0.0	80	0	3583	17
EPT-0P	uce-10076_EPT_C9	1	10000	0.0	80	0	470	10
EPT-0A	uce-10104_EPT_C3	1	10000	0.0	21	0	588	0
EPT-0B	uce-10104_EPT_C3	1	10000	0.0	21	0	306	9
EPT-0C	uce-10104_EPT_C3	1	10000	0.0	21	0	1365	21
EPT-0D	uce-10104_EPT_C3	1	10000	0.0	21	0	315	0
EPT-0E	uce-10104_EPT_C3	1	10000	0.0	21	0	928	17
EPT-0F	uce-10104_EPT_C3	1	10000	0.0	21	0	851	94
EPT-0H	uce-10104_EPT_C3	1	10000	0.0	21	0	126	0
EPT-0I	uce-10104_EPT_C3	1	10000	0.0	21	0	915	30
EPT-0J	uce-10104_EPT_C3	1	10000	0.0	21	0	315	0
EPT-0L	uce-10104_EPT_C3	1	10000	0.0	21	0	21	0
EPT-0N	uce-10104_EPT_C3	1	10000	0.0	21	0	21	0
EPT-0O	uce-10104_EPT_C3	1	10000	0.0	21	0	945	0
EPT-0P	uce-10104_EPT_C3	1	10000	0.0	21	0	126	0
EPT-0A	uce-10136_EPT_C9	1	10000	0.0866666666666666	75	182	2100	0
EPT-0B	uce-10136_EPT_C9	1	10000	0.0728888888888888	75	82	1125	0
EPT-0C	uce-10136_EPT_C9	1	10000	0.0838383838383838	75	415	4950	0
EPT-0D	uce-10136_EPT_C9	1	10000	0.0853333333333333	75	96	1125	0
EPT-0E	uce-10136_EPT_C9	1	10000	0.0865185185185185	75	292	3375	0
EPT-0F	uce-10136_EPT_C9	1	10000	0.0613718411552346	75	204	3324	51
EPT-0H	uce-10136_EPT_C9	1	10000	0.0844444444444444	75	38	450	0
EPT-0I	uce-10136_EPT_C9	1	10000	0.0705185185185185	75	238	3375	0
EPT-0J	uce-10136_EPT_C9	1	10000	0.088	75	99	1125	0
EPT-0L	uce-10136_EPT_C9	1	10000	0.0933333333333333	75	7	75	0
EPT-0N	uce-10136_EPT_C9	1	10000	0.1081081081081081	74	8	74	1
EPT-0O	uce-10136_EPT_C9	1	10000	0.0759380583680762	75	255	3358	17
EPT-0P	uce-10136_EPT_C9	1	10000	0.08	75	36	450	0
EPT-0A	uce-10182_EPT_C9	1	10000	0.0460829493087557	62	80	1736	0
EPT-0B	uce-10182_EPT_C9	1	10000	0.0268817204301075	62	25	930	0
EPT-0C	uce-10182_EPT_C9	1	10000	0.0293255131964809	62	120	4092	0
EPT-0D	uce-10182_EPT_C9	1	10000	0.010752688172043	62	10	930	0
EPT-0E	uce-10182_EPT_C9	1	10000	0.028673835125448	62	80	2790	0
EPT-0F	uce-10182_EPT_C9	1	10000	0.0460021905805038	62	126	2739	51
EPT-0H	uce-10182_EPT_C9	1	10000	0.0080645161290322	62	3	372	0
EPT-0I	uce-10182_EPT_C9	1	10000	0.0320226996351844	62	79	2467	323
EPT-0J	uce-10182_EPT_C9	1	10000	0.0376344086021505	62	35	930	0
EPT-0L	uce-10182_EPT_C9	1	10000	0.0161290322580645	62	1	62	0
EPT-0N	uce-10182_EPT_C9	1	10000	0.0	62	0	62	0
EPT-0O	uce-10182_EPT_C9	1	10000	0.028673835125448	62	80	2790	0
EPT-0P	uce-10182_EPT_C9	1	10000	0.0564516129032258	62	21	372	0
EPT-0A	uce-10209_EPT_C10	1	10000	0.005813953488372	43	7	1204	0
EPT-0B	uce-10209_EPT_C10	1	10000	0.0	43	0	645	0
EPT-0C	uce-10209_EPT_C10	1	10000	0.0	43	0	2838	0
EPT-0D	uce-10209_EPT_C10	1	10000	0.0	43	0	618	27
EPT-0E	uce-10209_EPT_C10	1	10000	0.0	43	0	1935	0
EPT-0F	uce-10209_EPT_C10	1	10000	0.0	43	0	1935	0
EPT-0H	uce-10209_EPT_C10	1	10000	0.0232558139534883	43	6	258	0
EPT-0I	uce-10209_EPT_C10	1	10000	0.0093023255813953	43	18	1935	0
EPT-0J	uce-10209_EPT_C10	1	10000	0.0075566750629722	43	3	397	248
EPT-0L	uce-10209_EPT_C10	1	10000	0.0465116279069767	43	2	43	0
EPT-0N	uce-10209_EPT_C10	1	10000	0.0	43	0	43	0
EPT-0O	uce-10209_EPT_C10	1	10000	0.0094687006838506	43	18	1901	34
EPT-0P	uce-10209_EPT_C10	1	10000	0.0	43	0	253	5
EPT-0A	uce-10209_EPT_C9	1	10000	0.0	66	0	1718	130
EPT-0B	uce-10209_EPT_C9	1	10000	0.0	66	0	990	0
EPT-0C	uce-10209_EPT_C9	1	10000	0.0051498127340823	66	22	4272	84
EPT-0D	uce-10209_EPT_C9	1	10000	0.0	66	0	990	0
EPT-0E	uce-10209_EPT_C9	1	10000	0.0178451178451178	66	53	2970	0
EPT-0F	uce-10209_EPT_C9	1	10000	0.0165639445300462	66	43	2596	374
EPT-0H	uce-10209_EPT_C9	1	10000	0.0314685314685314	66	9	286	110
EPT-0I	uce-10209_EPT_C9	1	10000	0.0062026188835286	66	18	2902	68
EPT-0J	uce-10209_EPT_C9	1	10000	0.0105374077976817	66	10	949	41
EPT-0L	uce-10209_EPT_C9	1	10000	0.0	66	0	66	0
EPT-0N	uce-10209_EPT_C9	1	10000	0.0	66	0	66	0
EPT-0O	uce-10209_EPT_C9	1	10000	0.0170299727520436	66	50	2936	34
EPT-0P	uce-10209_EPT_C9	1	10000	0.0	66	0	396	0
EPT-0A	uce-10230_EPT_C3	1	10000	0.0172188317349607	175	79	4588	340
EPT-0B	uce-10230_EPT_C3	1	10000	0.0179047619047619	175	47	2625	15
EPT-0C	uce-10230_EPT_C3	1	10000	0.0101214574898785	176	110	10868	748
EPT-0D	uce-10230_EPT_C3	1	10000	0.0050900548159749	176	13	2554	86
EPT-0E	uce-10230_EPT_C3	1	10000	0.0199086989601826	176	157	7886	34
EPT-0F	uce-10230_EPT_C3	1	10000	0.0137465957722733	176	106	7711	209
EPT-0H	uce-10230_EPT_C3	1	10000	0.0115384615384615	175	12	1040	16
EPT-0I	uce-10230_EPT_C3	1	10000	0.0129328327075511	176	93	7191	729
EPT-0J	uce-10230_EPT_C3	1	10000	0.0082514734774066	176	21	2545	95
EPT-0L	uce-10230_EPT_C3	1	10000	0.034090909090909	176	6	176	0
EPT-0N	uce-10230_EPT_C3	1	10000	0.0227272727272727	176	4	176	0
EPT-0O	uce-10230_EPT_C3	1	10000	0.0107540983606557	176	82	7625	295
EPT-0P	uce-10230_EPT_C3	1	10000	0.0160984848484848	176	17	1056	0
EPT-0A	uce-10234_EPT_C3	1	10000	0.0405982905982906	104	114	2808	104
EPT-0B	uce-10234_EPT_C3	1	10000	0.0301163586584531	104	44	1461	99
EPT-0C	uce-10234_EPT_C3	1	10000	0.0349262019582054	104	239	6843	21
EPT-0D	uce-10234_EPT_C3	1	10000	0.0461538461538461	104	72	1560	0
EPT-0E	uce-10234_EPT_C3	1	10000	0.046322110229466	104	216	4663	17
EPT-0F	uce-10234_EPT_C3	1	10000	0.0369658119658119	104	173	4680	0
EPT-0H	uce-10234_EPT_C3	1	10000	0.0352564102564102	104	22	624	0
EPT-0I	uce-10234_EPT_C3	1	10000	0.04508547008547	104	211	4680	0
EPT-0J	uce-10234_EPT_C3	1	10000	0.0487179487179487	104	76	1560	0
EPT-0L	uce-10234_EPT_C3	1	10000	0.0576923076923076	104	6	104	0
EPT-0N	uce-10234_EPT_C3	1	10000	0.048076923076923	104	5	104	0
EPT-0O	uce-10234_EPT_C3	1	10000	0.0435458786936236	104	196	4501	179
EPT-0P	uce-10234_EPT_C3	1	10000	0.0387722132471728	104	24	619	5
EPT-0A	uce-10397_EPT_C3	1	10000	0.0292504570383912	20	16	547	13
EPT-0B	uce-10397_EPT_C3	1	10000	0.03	20	9	300	0
EPT-0C	uce-10397_EPT_C3	1	10000	0.0272727272727272	20	36	1320	0
EPT-0D	uce-10397_EPT_C3	1	10000	0.03	20	9	300	0
EPT-0E	uce-10397_EPT_C3	1	10000	0.0277777777777777	20	25	900	0
EPT-0F	uce-10397_EPT_C3	1	10000	0.0300751879699248	20	24	798	102
EPT-0H	uce-10397_EPT_C3	1	10000	0.0333333333333333	20	4	120	0
EPT-0I	uce-10397_EPT_C3	1	10000	0.0277777777777777	20	25	900	0
EPT-0J	uce-10397_EPT_C3	1	10000	0.03	20	9	300	0
EPT-0L	uce-10397_EPT_C3	1	10000	0.05	20	1	20	0
EPT-0N	uce-10397_EPT_C3	1	10000	0.05	20	1	20	0
EPT-0O	uce-10397_EPT_C3	1	10000	0.0277777777777777	20	25	900	0
EPT-0P	uce-10397_EPT_C3	1	10000	0.0333333333333333	20	4	120	0
EPT-0A	uce-1039_EPT_C5	1	10000	0.0098784194528875	94	26	2632	0
EPT-0B	uce-1039_EPT_C5	1	10000	0.0148936170212765	94	21	1410	0
EPT-0C	uce-1039_EPT_C5	1	10000	0.0064693514475173	94	40	6183	21
EPT-0D	uce-1039_EPT_C5	1	10000	0.0057102069950035	94	8	1401	9
EPT-0E	uce-1039_EPT_C5	1	10000	0.0090664052928203	94	37	4081	149
EPT-0F	uce-1039_EPT_C5	1	10000	0.0081029551954242	94	34	4196	34
EPT-0H	uce-1039_EPT_C5	1	10000	0.0124113475177304	94	7	564	0
EPT-0I	uce-1039_EPT_C5	1	10000	0.0021892483580637	94	9	4111	119
EPT-0J	uce-1039_EPT_C5	1	10000	0.0092198581560283	94	13	1410	0
EPT-0L	uce-1039_EPT_C5	1	10000	0.010752688172043	93	1	93	1
EPT-0N	uce-1039_EPT_C5	1	10000	0.0	94	0	94	0
EPT-0O	uce-1039_EPT_C5	1	10000	0.0043425814234016	94	18	4145	85
EPT-0P	uce-1039_EPT_C5	1	10000	0.0	94	0	564	0
EPT-0A	uce-10473_EPT_C3	1	10000	0.0214576396596374	97	58	2703	13
EPT-0B	uce-10473_EPT_C3	1	10000	0.0309278350515463	97	45	1455	0
EPT-0C	uce-10473_EPT_C3	1	10000	0.029775897194797	97	190	6381	21
EPT-0D	uce-10473_EPT_C3	1	10000	0.0252986647926914	97	36	1423	32
EPT-0E	uce-10473_EPT_C3	1	10000	0.0232290708371665	97	101	4348	17
EPT-0F	uce-10473_EPT_C3	1	10000	0.0250347705146036	97	108	4314	51
EPT-0H	uce-10473_EPT_C3	1	10000	0.0190972222222222	96	11	576	6
EPT-0I	uce-10473_EPT_C3	1	10000	0.0233202493650427	97	101	4331	34
EPT-0J	uce-10473_EPT_C3	1	10000	0.0180932498260264	97	26	1437	18
EPT-0L	uce-10473_EPT_C3	1	10000	0.0526315789473684	95	5	95	2
EPT-0N	uce-10473_EPT_C3	1	10000	0.0206185567010309	97	2	97	0
EPT-0O	uce-10473_EPT_C3	1	10000	0.0235995232419547	97	99	4195	170
EPT-0P	uce-10473_EPT_C3	1	10000	0.0240549828178694	97	14	582	0
EPT-0A	uce-10496_EPT_C12	1	10000	0.0126042272639131	193	65	5157	247
EPT-0B	uce-10496_EPT_C12	1	10000	0.0196891191709844	193	57	2895	0
EPT-0C	uce-10496_EPT_C12	1	10000	0.0144648023143683	193	180	12444	294
EPT-0D	uce-10496_EPT_C12	1	10000	0.0137711864406779	193	39	2832	63
EPT-0E	uce-10496_EPT_C12	1	10000	0.0211250603573153	193	175	8284	401
EPT-0F	uce-10496_EPT_C12	1	10000	0.0194579569145239	193	168	8634	51
EPT-0H	uce-10496_EPT_C12	1	10000	0.0224525043177892	193	26	1158	0
EPT-0I	uce-10496_EPT_C12	1	10000	0.0127806563039723	193	111	8685	0
EPT-0J	uce-10496_EPT_C12	1	10000	0.0184219673270768	193	53	2877	18
EPT-0L	uce-10496_EPT_C12	1	10000	0.0210526315789473	190	4	190	3
EPT-0N	uce-10496_EPT_C12	1	10000	0.0310880829015544	193	6	193	0
EPT-0O	uce-10496_EPT_C12	1	10000	0.0134088544676915	193	116	8651	34
EPT-0P	uce-10496_EPT_C12	1	10000	0.0207253886010362	193	24	1158	0
EPT-0A	uce-10565_EPT_C3	1	10000	0.0	63	0	1699	65
EPT-0B	uce-10565_EPT_C3	1	10000	0.0052910052910052	63	5	945	0
EPT-0C	uce-10565_EPT_C3	1	10000	0.0052910052910052	63	22	4158	0
EPT-0D	uce-10565_EPT_C3	1	10000	0.0	63	0	927	18
EPT-0E	uce-10565_EPT_C3	1	10000	0.0031746031746031	63	9	2835	0
EPT-0F	uce-10565_EPT_C3	1	10000	0.0092353158478019	63	25	2707	128
EPT-0H	uce-10565_EPT_C3	1	10000	0.0	63	0	368	10
EPT-0I	uce-10565_EPT_C3	1	10000	0.021291696238467	63	60	2818	17
EPT-0J	uce-10565_EPT_C3	1	10000	0.0105820105820105	63	10	945	0
EPT-0L	uce-10565_EPT_C3	1	10000	0.0	63	0	63	0
EPT-0N	uce-10565_EPT_C3	1	10000	0.0	62	0	62	1
EPT-0O	uce-10565_EPT_C3	1	10000	0.0	63	0	2805	30
EPT-0P	uce-10565_EPT_C3	1	10000	0.0	63	0	378	0
EPT-0A	uce-10590_EPT_C10	1	10000	0.0336787564766839	169	156	4632	100
EPT-0B	uce-10590_EPT_C10	1	10000	0.0259688373951258	169	65	2503	32
EPT-0C	uce-10590_EPT_C10	1	10000	0.027316453398675	169	301	11019	135
EPT-0D	uce-10590_EPT_C10	1	10000	0.02885443583118	168	67	2322	213
EPT-0E	uce-10590_EPT_C10	1	10000	0.0253584705257567	169	191	7532	73
EPT-0F	uce-10590_EPT_C10	1	10000	0.032867233674499	168	228	6937	668
EPT-0H	uce-10590_EPT_C10	1	10000	0.0320247933884297	168	31	968	46
EPT-0I	uce-10590_EPT_C10	1	10000	0.0298327759197324	169	223	7475	130
EPT-0J	uce-10590_EPT_C10	1	10000	0.0304928989139515	168	73	2394	141
EPT-0L	uce-10590_EPT_C10	1	10000	0.0414201183431952	169	7	169	0
EPT-0N	uce-10590_EPT_C10	1	10000	0.0357142857142857	168	6	168	1
EPT-0O	uce-10590_EPT_C10	1	10000	0.0287388392857142	168	206	7168	437
EPT-0P	uce-10590_EPT_C10	1	10000	0.0327380952380952	168	33	1008	6
EPT-0A	uce-10627_EPT_C3	1	10000	0.0198830409356725	93	51	2565	39
EPT-0B	uce-10627_EPT_C3	1	10000	0.0304832713754646	93	41	1345	50
EPT-0C	uce-10627_EPT_C3	1	10000	0.0193804869968527	93	117	6037	101
EPT-0D	uce-10627_EPT_C3	1	10000	0.0288600288600288	93	40	1386	9
EPT-0E	uce-10627_EPT_C3	1	10000	0.0410268714011516	93	171	4168	17
EPT-0F	uce-10627_EPT_C3	1	10000	0.0310019841269841	93	125	4032	153
EPT-0H	uce-10627_EPT_C3	1	10000	0.0340501792114695	93	19	558	0
EPT-0I	uce-10627_EPT_C3	1	10000	0.0376487733786737	93	155	4117	68
EPT-0J	uce-10627_EPT_C3	1	10000	0.0372807017543859	93	51	1368	27
EPT-0L	uce-10627_EPT_C3	1	10000	0.0543478260869565	92	5	92	1
EPT-0N	uce-10627_EPT_C3	1	10000	0.0240963855421686	83	2	83	10
EPT-0O	uce-10627_EPT_C3	1	10000	0.0290275761973875	93	120	4134	51
EPT-0P	uce-10627_EPT_C3	1	10000	0.028673835125448	93	16	558	0
EPT-0A	uce-10645_EPT_C9	1	10000	0.0158385093167701	115	51	3220	0
EPT-0B	uce-10645_EPT_C9	1	10000	0.0110144927536231	115	19	1725	0
EPT-0C	uce-10645_EPT_C9	1	10000	0.0132485426603073	115	100	7548	42
EPT-0D	uce-10645_EPT_C9	1	10000	0.0052724077328646	115	9	1707	18
EPT-0E	uce-10645_EPT_C9	1	10000	0.0115527707068729	115	59	5107	68
EPT-0F	uce-10645_EPT_C9	1	10000	0.0133595284872298	115	68	5090	85
EPT-0H	uce-10645_EPT_C9	1	10000	0.0144927536231884	115	10	690	0
EPT-0I	uce-10645_EPT_C9	1	10000	0.0144927536231884	115	75	5175	0
EPT-0J	uce-10645_EPT_C9	1	10000	0.0136175251628182	115	23	1689	36
EPT-0L	uce-10645_EPT_C9	1	10000	0.0357142857142857	112	4	112	3
EPT-0N	uce-10645_EPT_C9	1	10000	0.008695652173913	115	1	115	0
EPT-0O	uce-10645_EPT_C9	1	10000	0.0103195078388569	115	52	5039	136
EPT-0P	uce-10645_EPT_C9	1	10000	0.0188405797101449	115	13	690	0
EPT-0A	uce-126_EPT_C10	1	10000	0.0069341258048538	74	14	2019	53
EPT-0B	uce-126_EPT_C10	1	10000	0.0	73	0	1068	42
EPT-0C	uce-126_EPT_C10	1	10000	0.0172808661253383	74	83	4803	81
EPT-0D	uce-126_EPT_C10	1	10000	0.0138504155124653	74	15	1083	27
EPT-0E	uce-126_EPT_C10	1	10000	0.0082166768107121	74	27	3286	44
EPT-0F	uce-126_EPT_C10	1	10000	0.0114285714285714	74	36	3150	180
EPT-0H	uce-126_EPT_C10	1	10000	0.0067567567567567	74	3	444	0
EPT-0I	uce-126_EPT_C10	1	10000	0.0	74	0	3300	30
EPT-0J	uce-126_EPT_C10	1	10000	0.0	73	0	1095	15
EPT-0L	uce-126_EPT_C10	1	10000	0.0136986301369863	73	1	73	1
EPT-0N	uce-126_EPT_C10	1	10000	0.0136986301369863	73	1	73	1
EPT-0O	uce-126_EPT_C10	1	10000	0.0086580086580086	73	28	3234	96
EPT-0P	uce-126_EPT_C10	1	10000	0.0	74	0	444	0
EPT-0A	uce-1316_EPT_C3	1	10000	0.0168258299226921	79	37	2199	13
EPT-0B	uce-1316_EPT_C3	1	10000	0.0294117647058823	79	33	1122	63
EPT-0C	uce-1316_EPT_C3	1	10000	0.0229081731702582	79	118	5151	63
EPT-0D	uce-1316_EPT_C3	1	10000	0.0278481012658227	79	33	1185	0
